Unnamed: 0,prompt,response
813,আমাকে বলুন আপনি রসিকতা করছেন।,আমি যে শো পছন্দ।
814,আমি যে শো পছন্দ।,আমি এটি একবার দেখেছি।এটা যথেষ্ট ছিল।
815,আমি এটি একবার দেখেছি।এটা যথেষ্ট ছিল।,এটা এখনই চলছে।আসুন এটি একসাথে দেখুন।
816,আমি এখানে থাকতে পছন্দ করি।,আমি রাজী.
817,আমি রাজী.,এটা খুব বড় নয়।
818,এটা খুব বড় নয়।,এবং এটি খুব ছোট নয়।
819,এবং এটি খুব ছোট নয়।,এটি সারা বছর ধরে দুর্দান্ত আবহাওয়া রয়েছে।
820,এটি সারা বছর ধরে দুর্দান্ত আবহাওয়া রয়েছে।,এটি গোলাপের কুচকাওয়াজ রয়েছে।
821,এটি গোলাপের কুচকাওয়াজ রয়েছে।,এটি সুন্দর ঘর আছে।
822,এটি সুন্দর ঘর আছে।,এটি দুর্দান্ত রেস্তোঁরা আছে।
823,এটি দুর্দান্ত রেস্তোঁরা আছে।,এটি দুর্দান্ত স্কুল আছে।
824,এটি দুর্দান্ত স্কুল আছে।,it's close to the mountains.
825,এটি পাহাড়ের কাছাকাছি।,মানুষগুলো বন্ধুভাবাপন্ন.
826,মানুষগুলো বন্ধুভাবাপন্ন.,আমি কখনও চলে যাব না।
827,আমাদের একটি নতুন গদি দরকার।,এই এক সঙ্গে কি ব্যাপার?
828,এই এক সঙ্গে কি ব্যাপার?,এটা আরামদায়ক নয়।
829,এটা আরামদায়ক নয়।,এটা আমার কাছে ভাল লাগছে।
830,এটা আমার কাছে ভাল লাগছে।,আমি টস এবং সারা রাত ঘুরিয়ে দিই।
831,আমি টস এবং সারা রাত ঘুরিয়ে দিই।,আপনার কফি পান করা বন্ধ করা উচিত।
832,আপনার কফি পান করা বন্ধ করা উচিত।,আমার বাহুতে এই চিহ্নগুলি দেখুন।
833,আমার বাহুতে এই চিহ্নগুলি দেখুন।,তারা কি?
834,তারা কি?,তারা কামড়।
835,তারা কামড়।,বিড়াল কি তোমাকে কামড় দিয়েছে?
836,বিড়াল কি তোমাকে কামড় দিয়েছে?,না।সেই গদিতে বেডব্যাগগুলি আমাকে কামড়ায়।
837,না।সেই গদিতে বেডব্যাগগুলি আমাকে কামড়ায়।,ঠিক আছে.আসুন একটি নতুন গদি পাওয়া যাক।
838,আমার ল্যাপটপটি এত ধীর।,নতুন একটা কিন.
839,নতুন একটা কিন.,আমি যদি টাকা পেতাম।
840,আমি যদি টাকা পেতাম।,কেন এত ধীর?
841,কেন এত ধীর?,এটা একটা ভালো প্রশ্ন.
842,এটা একটা ভালো প্রশ্ন.,আপনি কি এটি একটি কম্পিউটারের দোকানে নিয়ে গিয়েছিলেন?
843,আপনি কি এটি একটি কম্পিউটারের দোকানে নিয়ে গিয়েছিলেন?,আমি যদি টাকা পেতাম।
844,আমি যদি টাকা পেতাম।,"ঠিক আছে, আমি অনুমান করি আপনাকে এটির সাথে বাঁচতে হবে।"
845,"ঠিক আছে, আমি অনুমান করি আপনাকে এটির সাথে বাঁচতে হবে।",কখনও কখনও আমি এটি উইন্ডোটি বাইরে ফেলে দিতে চাই।
846,কখনও কখনও আমি এটি উইন্ডোটি বাইরে ফেলে দিতে চাই।,you don't want to do that.
847,আপনি এটি করতে চান না।,কেন না?
848,কেন না?,আপনি কাউকে মাথায় আঘাত করতে পারেন।
849,রাতের খাবারের জন্য কী?,আমি নিশ্চিত নই.
850,আমি নিশ্চিত নই.,পিজ্জা কেমন?
851,পিজ্জা কেমন?,তোমার দুপুরের খাবারের জন্য পিজ্জা ছিল।
852,তোমার দুপুরের খাবারের জন্য পিজ্জা ছিল।,তবে আমি পিজ্জা পছন্দ করি।
853,তবে আমি পিজ্জা পছন্দ করি।,প্রত্যেকে পিজ্জা পছন্দ করে।
854,প্রত্যেকে পিজ্জা পছন্দ করে।,তাহলে কেন আমি রাতের খাবারের জন্য পিজ্জা রাখতে পারি না?
855,তাহলে কেন আমি রাতের খাবারের জন্য পিজ্জা রাখতে পারি না?,কারণ আপনার বিভিন্ন প্রয়োজন।
856,কারণ আপনার বিভিন্ন প্রয়োজন।,"""বৈচিত্র্য কি?"
857,"""বৈচিত্র্য কি?",বিভিন্ন জিনিস - - সর্বদা একই জিনিস নয়।
858,বিভিন্ন জিনিস - - সর্বদা একই জিনিস নয়।,"আপনি বলতে চাইছেন, পনির পিজ্জার পরিবর্তে পেপারনি পিজ্জার মতো?"
859,"আপনি বলতে চাইছেন, পনির পিজ্জার পরিবর্তে পেপারনি পিজ্জার মতো?","না, আমি পিজ্জার পরিবর্তে সালাদ বলতে চাইছি।"
860,আমাদের অর্থ সাশ্রয় করা দরকার।,কেন আমাদের অর্থ সাশ্রয় করা দরকার?
861,কেন আমাদের অর্থ সাশ্রয় করা দরকার?,because we need to buy a house.
862,because we need to buy a house.,তবে একটি বাড়ি এত ব্যয়বহুল।
863,তবে একটি বাড়ি এত ব্যয়বহুল।,এজন্য আমাদের অর্থ সাশ্রয় করা দরকার।
864,এজন্য আমাদের অর্থ সাশ্রয় করা দরকার।,how much do we need to save?
865,how much do we need to save?,ডাউন পেমেন্টের জন্য আমাদের যথেষ্ট পরিমাণে সঞ্চয় করতে হবে।
866,ডাউন পেমেন্টের জন্য আমাদের যথেষ্ট পরিমাণে সঞ্চয় করতে হবে।,ওটার দাম কত?
867,ওটার দাম কত?,"এটি প্রায় 30,000 ডলার।"
868,"এটি প্রায় 30,000 ডলার।",ত্রিশ হাজার ডলার!যে চিরকাল নেবে।
869,ত্রিশ হাজার ডলার!যে চিরকাল নেবে।,not if we save every penny.
870,আমরা যদি প্রতিটি পয়সা সংরক্ষণ করি না।,ঠিক আছে.এখানে সাতটি পেনি।
871,সমুদ্র এত বড়।,you can't see the end of it.
872,you can't see the end of it.,it goes on and on forever.
873,it goes on and on forever.,"and it's deep, too."
874,"and it's deep, too.",আমি মনে করি এটি পাঁচ মাইল গভীর।
875,আমি মনে করি এটি পাঁচ মাইল গভীর।,are there fish at the bottom?
876,are there fish at the bottom?,উপরে এবং নীচে মাছ আছে।
877,উপরে এবং নীচে মাছ আছে।,আরও মাছ আছে বা আরও বেশি লোক আছে?
878,আরও মাছ আছে বা আরও বেশি লোক আছে?,আমার মনে হয় আরও মাছ আছে।
879,i think there are more fish.,আমিও তাই আশা করি.
880,আমি আমার মায়ের সাথে বিরক্ত।,এটা কেন?
881,এটা কেন?,আমি তাকে তার নতুন প্রেমিক সম্পর্কে সতর্ক করেছিলাম।সে আমার কথা শুনেনি।
882,আমি তাকে তার নতুন প্রেমিক সম্পর্কে সতর্ক করেছিলাম।সে আমার কথা শুনেনি।,কি হলো?
883,কি হলো?,আমি তার জন্মদিনের জন্য তাকে $ 1000 দিয়েছি।আমি তাকে নিজেই ব্যয় করতে বলেছিলাম।
884,আমি তার জন্মদিনের জন্য তাকে $ 1000 দিয়েছি।আমি তাকে নিজেই ব্যয় করতে বলেছিলাম।,এটা আপনার খুব সুন্দর ছিল।
885,এটা আপনার খুব সুন্দর ছিল।,i found out that she gave it to her new boyfriend.
886,আমি জানতে পেরেছিলাম যে সে এটি তার নতুন প্রেমিককে দিয়েছে।,কেন সে তা করল?
887,কেন সে তা করল?,he said he would buy her a nice ring.
888,he said he would buy her a nice ring.,what's wrong with that?
889,এতে কী হয়েছে?,তিনি লাস ভেগাসে গিয়েছিলেন।তিনি সব জুয়া হারিয়েছেন।
890,তিনি লাস ভেগাসে গিয়েছিলেন।তিনি সব জুয়া হারিয়েছেন।,আমি আশা করি আপনার মা তার সাথে সম্পর্ক ছিন্ন করেছেন।
891,do animals talk to each other?,of course they talk to each other.
892,of course they talk to each other.,তারা কি সম্বন্ধে কথা বলছে?
893,তারা কি সম্বন্ধে কথা বলছে?,they talk about other animals.
894,তারা অন্যান্য প্রাণী সম্পর্কে কথা বলে।,তারা আর কী সম্পর্কে কথা বলে?
895,তারা আর কী সম্পর্কে কথা বলে?,they talk about food and the weather.
896,তারা খাবার এবং আবহাওয়া সম্পর্কে কথা বলে।,তারা কি আমাদের সম্পর্কে কথা বলে?
897,তারা কি আমাদের সম্পর্কে কথা বলে?,অবশ্যই তারা আমাদের সম্পর্কে কথা বলে।
898,অবশ্যই তারা আমাদের সম্পর্কে কথা বলে।,what do they say about us?
899,তারা আমাদের সম্পর্কে কী বলে?,they say that we are funny-looking.
900,they say that we are funny-looking.,হা!আমরা মজার চেহারা না;প্রাণী মজার চেহারা।
901,হা!আমরা মজার চেহারা না;প্রাণী মজার চেহারা।,আমরা মজার চেহারার কারণ আমরা জামাকাপড় পরি।
902,i have to clean the house.,"yes, it's very dirty."
903,"yes, it's very dirty.",তুমি আমাকে সাহায্য করতে পারো.
904,তুমি আমাকে সাহায্য করতে পারো.,আমি কেন?
905,আমি কেন?,because you helped make it dirty.
906,because you helped make it dirty.,তুমি আমার দ্বারা কি করতে চাও?
907,তুমি আমার দ্বারা কি করতে চাও?,i want you to clean the bathroom.
908,i want you to clean the bathroom.,"ওহ, এটা সহজ।"
909,"ওহ, এটা সহজ।","সিঙ্ক, টব, কাউন্টার এবং টয়লেট পরিষ্কার করুন।"
910,"সিঙ্ক, টব, কাউন্টার এবং টয়লেট পরিষ্কার করুন।",এটা অনেক কাজ।
911,এটা অনেক কাজ।,আপনি শেষ হলে বলুন।
912,আপনি শেষ হলে বলুন।,আমি তাই মনে করি না.
913,আপনি খুব বেশি টিভি দেখছেন।,আপনি কি বোঝাতে চেয়েছেন?
914,আপনি কি বোঝাতে চেয়েছেন?,মানে আপনি আপনার জীবন নষ্ট করছেন।
915,মানে আপনি আপনার জীবন নষ্ট করছেন।,আমি মজা পাচ্ছি.
916,আমি মজা পাচ্ছি.,আপনি মুখ খোলা রেখে সেখানে বসে আছেন।
917,আপনি মুখ খোলা রেখে সেখানে বসে আছেন।,কে যত্ন করে?
918,who cares?,কিছু কর.
919,কিছু কর.,ঠিক আছে.
920,ঠিক আছে.,আপনি কি করেছিলেন?
921,আপনি কি করেছিলেন?,আমি ভলিউম আপ।
922,আমি ভলিউম আপ।,"""কিছু করুন"" বলতে আমি এটি বোঝাতে চাইছি না।"
923,"""কিছু করুন"" বলতে আমি এটি বোঝাতে চাইছি না।",আপনি কিছু করবেন?আমাকে একা থাকতে দাও.
924,আপনি কি ঠাকুরমার কাছে একটি চিঠি লিখেছেন?,"হ্যা, আমি করেছিলাম."
925,"হ্যা, আমি করেছিলাম.",আপনি কি তাকে স্কুল সম্পর্কে বলেছিলেন?
926,আপনি কি তাকে স্কুল সম্পর্কে বলেছিলেন?,আমি তাকে বলেছিলাম যে স্কুল মজাদার।
927,আমি তাকে বলেছিলাম যে স্কুল মজাদার।,আপনি কি একটি খামে চিঠিটি রেখেছিলেন?
928,আপনি কি একটি খামে চিঠিটি রেখেছিলেন?,"হ্যাঁ, এবং আমি খামটি সিল করে দিয়েছি।"
929,"হ্যাঁ, এবং আমি খামটি সিল করে দিয়েছি।",আপনি কি খামে একটি স্ট্যাম্প লাগিয়েছেন?
930,আপনি কি খামে একটি স্ট্যাম্প লাগিয়েছেন?,আমি কোনও স্ট্যাম্প খুঁজে পাইনি।
931,আমি কোনও স্ট্যাম্প খুঁজে পাইনি।,they're in the kitchen drawer.
932,তারা রান্নাঘরের ড্রয়ারে রয়েছে।,ঠিক আছে.আমি কেবল খামে একটি স্ট্যাম্প রেখেছি।
933,ঠিক আছে.আমি কেবল খামে একটি স্ট্যাম্প রেখেছি।,"আমাকে খামটি দিন, এবং আমি এটি আপনার জন্য মেইল করব।"
934,"আমাকে খামটি দিন, এবং আমি এটি আপনার জন্য মেইল করব।",ঠাকুরমা কখন ই-মেইল সম্পর্কে শিখতে চলেছে?
935,তুমি কেন কেটে যাচ্ছ?,আমার ঘুম পাচ্ছে.
936,আমার ঘুম পাচ্ছে.,why don't you go to bed?
937,আপনি বিছানায় যাবেন না কেন?,i want to watch this tv show.
938,i want to watch this tv show.,সম্ভবত আপনি এটি রেকর্ড করা উচিত।
939,সম্ভবত আপনি এটি রেকর্ড করা উচিত।,the tape recorder is broken.
940,টেপ রেকর্ডারটি ভেঙে গেছে।,তারপরে আপনার পুনরায় কাজ করা উচিত।
941,তারপরে আপনার পুনরায় কাজ করা উচিত।,কেন?আমি আসল দেখছি।
942,কেন?আমি আসল দেখছি।,তবে আপনি প্রায় এক মিনিটে ঘুমিয়ে যাবেন।
943,তবে আপনি প্রায় এক মিনিটে ঘুমিয়ে যাবেন।,বিজ্ঞাপনগুলি চালু রয়েছে বলে আমি কেবল ঝাঁকুনি দিচ্ছি।
944,বিজ্ঞাপনগুলি চালু রয়েছে বলে আমি কেবল ঝাঁকুনি দিচ্ছি।,ঠিক আছে.আমি আপনাকে বলব কীভাবে শো শেষ হয়।
945,ঠিক আছে.,জেডজেডজেড
946,আজ রবিবার.,তো?
947,তো?,আপনি কি জানেন যে মানে.
948,আপনি কি জানেন যে মানে.,আমি ভুলে গেছি.
949,আমি ভুলে গেছি.,sunday means we go to church.
950,রবিবার মানে আমরা গির্জার কাছে যাই।,ও আচ্ছা.
951,ও আচ্ছা.,একটি কোট এবং টাই লাগান।
952,একটি কোট এবং টাই লাগান।,কেন?
953,কেন?,God শ্বর এবং অন্যদের প্রতি শ্রদ্ধা প্রদর্শন।
954,God শ্বর এবং অন্যদের প্রতি শ্রদ্ধা প্রদর্শন।,আমি আনন্দিত রবিবার সপ্তাহে একবার।
955,আমি আনন্দিত রবিবার সপ্তাহে একবার।,আমি আশা করি God শ্বর তা শুনেন নি।
956,আমি আশা করি God শ্বর তা শুনেন নি।,সে আমাকে ক্ষমা করবে।
957,আপনি কি বিড়াল খাওয়ান?,আমি এক মিনিটের মধ্যে এটি করব।
958,আমি এক মিনিটের মধ্যে এটি করব।,সে ক্ষুধার্ত.
959,সে ক্ষুধার্ত.,ঠিক আছে.আমি এখনই তাকে খাওয়াব।
960,ঠিক আছে.,you shouldn't make him wait.
961,আপনি তাকে অপেক্ষা করা উচিত নয়।,আমার বাসার কাজ আমি করেছি.
962,আমার বাসার কাজ আমি করেছি.,বিড়াল আপনার বাড়ির কাজ সম্পর্কে চিন্তা করে না।
963,বিড়াল আপনার বাড়ির কাজ সম্পর্কে চিন্তা করে না।,বিড়াল কোনও কিছুর যত্ন করে না।
964,the cat doesn't care about anything.,বিড়ালরা এভাবেই।
965,বিড়ালরা এভাবেই।,তারা যা ভাবেন তা তারা নিজেরাই।
966,তারা যা ভাবেন তা তারা নিজেরাই।,হয়তো আমাদের তাকে মুক্তি দেওয়া উচিত।
967,হয়তো আমাদের তাকে মুক্তি দেওয়া উচিত।,অবশ্যই না!তিনি পরিবার।
968,আমি শেভিং ঘৃণা করি।,আমিও.
969,আমিও.,আমি নিজেকে আবার কেটে ফেলেছি।
970,আমি নিজেকে আবার কেটে ফেলেছি।,আপনি একটি নতুন ব্লেড ব্যবহার করেছেন?
971,আপনি একটি নতুন ব্লেড ব্যবহার করেছেন?,"এটা কিছু যায় আসে না।পুরানো ব্লেড কাটা, নতুন ব্লেড কাটা।"
972,"এটা কিছু যায় আসে না।পুরানো ব্লেড কাটা, নতুন ব্লেড কাটা।",হতে পারে আপনার বৈদ্যুতিক শেভার ব্যবহার করা উচিত।
973,হতে পারে আপনার বৈদ্যুতিক শেভার ব্যবহার করা উচিত।,"তারা প্রচুর শব্দ করে, তবে তারা ঘনিষ্ঠ শেভ দেয় না।"
974,"তারা প্রচুর শব্দ করে, তবে তারা ঘনিষ্ঠ শেভ দেয় না।",হয়তো আপনার শেভ করা বন্ধ করা উচিত।
975,হয়তো আপনার শেভ করা বন্ধ করা উচিত।,এবং একটি দাড়ি বৃদ্ধি?
976,এবং একটি দাড়ি বৃদ্ধি?,নিশ্চিত।কেন না?
977,নিশ্চিত।কেন না?,কারণ খাবার এবং অন্যান্য জিনিস আমার দাড়ি লাঠি।
978,কারণ খাবার এবং অন্যান্য জিনিস আমার দাড়ি লাঠি।,hmm. here's an idea. put cream on your face and have the cat lick it off.
979,মাফ করবেন.,হ্যাঁ?
980,হ্যাঁ?,আপনি কি এই কাগজটি পড়ছেন?
981,আপনি কি এই কাগজটি পড়ছেন?,ওহ না.নিজেকে সাহায্য করুন।
982,ওহ না.নিজেকে সাহায্য করুন।,i asked because the paper is sitting next to you.
983,আমি জিজ্ঞাসা করেছি কারণ কাগজটি আপনার পাশে বসে আছে।,ধন্যবাদ.
984,ধন্যবাদ.,কিছু লোক কেবল এটি বাছাই করবে।
985,কিছু লোক কেবল এটি বাছাই করবে।,হ্যা আমি জানি.
986,হ্যা আমি জানি.কিছু লোক অভদ্র।,আমি সবসময় নম্র হওয়ার চেষ্টা করি।
987,আমি সবসময় নম্র হওয়ার চেষ্টা করি।,আমিও.
988,আমিও.,the world needs more polite people like us.
989,বিশ্বের আমাদের মতো আরও ভদ্র লোক দরকার।,আমি 100 শতাংশ সম্মত।
990,"মা, আমি একটি কুকুরছানা চাই।",আমাকে এটা সম্পর্কে চিন্তা করতে দিন.
991,আমাকে এটা সম্পর্কে চিন্তা করতে দিন.,কেন আপনি এটি সম্পর্কে চিন্তা করতে হবে?
992,কেন আপনি এটি সম্পর্কে চিন্তা করতে হবে?,কারণ একটি কুকুরছানা অর্থ ব্যয় করে।
993,কারণ একটি কুকুরছানা অর্থ ব্যয় করে।,"না, এটা না।কুকুরছানা বিনামূল্যে।"
994,"না, এটা না।কুকুরছানা বিনামূল্যে।","হ্যাঁ, তবে একটি কুকুরছানা শট প্রয়োজন।"
995,"হ্যাঁ, তবে একটি কুকুরছানা শট প্রয়োজন।",কিসের জন্য শট?
996,কিসের জন্য শট?,so it won't get sick. just like you get shots.
997,সুতরাং এটি অসুস্থ হবে না।ঠিক যেমন আপনি শট পান।,i hate shots.
998,আমি শট ঘৃণা করি।,এবং একটি কুকুরছানা খাবার খায়।খাবারের জন্য অর্থ ব্যয় হয়।
999,এবং একটি কুকুরছানা খাবার খায়।খাবারের জন্য অর্থ ব্যয় হয়।,সমস্যা নেই.আমি তাকে আমার প্লেট থেকে খাবার দেব।
1000,সমস্যা নেই.আমি তাকে আমার প্লেট থেকে খাবার দেব।,"ওহ, না আপনি না।কুকুরছানা শাকসবজি খায় না।"
1001,এই সমস্ত বিড়ালছানা দেখুন!,সেখানে কত সংখ্যক?
1002,সেখানে কত সংখ্যক?,আট।
1003,আট।,তারা সবাই খুব সুন্দর।
1004,তারা সবাই খুব সুন্দর।,"হ্যাঁ, তবে আমি তাদের রাখতে পারি না।"
1005,"হ্যাঁ, তবে আমি তাদের রাখতে পারি না।",আপনি তাদের সাথে কি করতে যাচ্ছেন?
1006,আপনি তাদের সাথে কি করতে যাচ্ছেন?,আমি তাদের দিতে যাচ্ছি।আপনি এক করতে চান না?
1007,আমি তাদের দিতে যাচ্ছি।আপনি এক করতে চান না?,"হ্যাঁ, আমি একজনকে ভালবাসি।"
1008,"হ্যাঁ, আমি একজনকে ভালবাসি।",তুমি কোনটি চাও?
1009,তুমি কোনটি চাও?,ঐটা.এক যে সমস্ত কালো।
1010,ঐটা.,"হ্যাঁ, আমিও এটি পছন্দ করি।"
1011,"হ্যাঁ, আমিও এটি পছন্দ করি।",i'll call him blacky.
1012,আমার বাবা -মা প্রতি রবিবার গির্জার কাছে যান।,তারা God শ্বরের উপর নির্ভর করে।
1013,তারা God শ্বরের উপর নির্ভর করে।,তারা আশা করি তারা স্বর্গে যাবে।
1014,তারা আশা করি তারা স্বর্গে যাবে।,তারা সম্ভবত করবে।
1015,তারা সম্ভবত করবে।,তবে কেউ নিশ্চিতভাবে জানে না।
1016,তবে কেউ নিশ্চিতভাবে জানে না।,এটা সত্যি.
1017,এটা সত্যি.,no one knows what happens after we die.
1018,no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
1019,"if we are good, we will be happy in heaven with god.",that's what many people believe.
1020,এটাই অনেক লোক বিশ্বাস করে।,আমরা যদি খারাপ হয় তবে আমরা চিরকাল জাহান্নামে অসন্তুষ্ট হব।
1021,আমরা যদি খারাপ হয় তবে আমরা চিরকাল জাহান্নামে অসন্তুষ্ট হব।,আমি জাহান্নামে যেতে চাই না।
1022,আমি জাহান্নামে যেতে চাই না।,রবিবার আপনার পিতামাতার সাথে গির্জার দিকে যাই।
1023,আমার স্বামী মারা গেলেন।,আমি তোমার জন্য দুঃখিত.
1024,আমি তোমার জন্য দুঃখিত.,ধন্যবাদ.
1025,ধন্যবাদ.,সে কখন মারা গেল?
1026,সে কখন মারা গেল?,কয়েক মাস আগে।
1027,কয়েক মাস আগে।,আপনি এখনো তার অভাববোধ করেন.
1028,আপনি এখনো তার অভাববোধ করেন.,"হ্যাঁ, তবে আমি প্রায় প্রতিদিন তার সাথে কথা বলি।"
1029,"হ্যাঁ, তবে আমি প্রায় প্রতিদিন তার সাথে কথা বলি।",আপনি যখন গির্জার কাছে যাবেন?
1030,আপনি যখন গির্জার কাছে যাবেন?,"না, যখন আমি তাকে তার সেল ফোনে কল করি।"
1031,"না, যখন আমি তাকে তার সেল ফোনে কল করি।",আপনি কি বোঝাতে চেয়েছেন?
1032,আপনি কি বোঝাতে চেয়েছেন?,আমি তাকে তার সেল ফোন দিয়ে কবর দিয়েছি।
1033,আমি তাকে তার সেল ফোন দিয়ে কবর দিয়েছি।,ব্যাটারি মারা গেলে আপনি কী করবেন?
1034,আজ শুক্রবার ত্রয়োদশ।,এটি একটি খারাপ দিন।
1035,এটি একটি খারাপ দিন।,এটা দুর্ভাগ্য হওয়ার কথা।
1036,এটা দুর্ভাগ্য হওয়ার কথা।,আপনার সারা দিন বাড়িতে থাকার কথা।
1037,আপনার সারা দিন বাড়িতে থাকার কথা।,এটা যা আমি করি.
1038,এটা যা আমি করি.,আমার বন্ধু ত্রয়োদশ শুক্রবার একটি হোটেলে থাকল।
1039,আমার বন্ধু ত্রয়োদশ শুক্রবার একটি হোটেলে থাকল।,ওটা একটা ভুল ছিল.
1040,ওটা একটা ভুল ছিল.,তিনি ত্রয়োদশ তলায় থাকলেন।
1041,তিনি ত্রয়োদশ তলায় থাকলেন।,কি হলো?
1042,কি হলো?,someone stole his laptop.
1043,someone stole his laptop.,he was asking for it.
1044,he was asking for it.,তিনি তার পাঠ শিখেছিলেন।তিনি আজ বাড়িতে আছেন।
1045,তুমি কি সত্যি আমাকে ভালোবাসো?,অবশ্যই.
1046,অবশ্যই.,প্রমান কর.
1047,প্রমান কর.,আমি কীভাবে এটি প্রমাণ করতে পারি?
1048,আমি কীভাবে এটি প্রমাণ করতে পারি?,আমাকে ডিনারে নিয়ে যান।
1049,আমাকে ডিনারে নিয়ে যান।,এটাই?
1050,এটাই?,"আমাকে একটি সুন্দর রেস্তোঁরায় নিয়ে যান, ম্যাকডোনাল্ডসের কাছে নয়।"
1051,"আমাকে একটি সুন্দর রেস্তোঁরায় নিয়ে যান, ম্যাকডোনাল্ডসের কাছে নয়।",তবে একটি দুর্দান্ত রেস্তোঁরাটির জন্য অর্থ ব্যয় হয়।
1052,তবে একটি দুর্দান্ত রেস্তোঁরাটির জন্য অর্থ ব্যয় হয়।,"হ্যাঁ, এবং আপনাকে একটি রিজার্ভেশন করতে হবে।"
1053,"হ্যাঁ, এবং আপনাকে একটি রিজার্ভেশন করতে হবে।",এটাই এমন ঝামেলা।
1054,এটাই এমন ঝামেলা।,আমি জানতাম তুমি আমাকে ভালোবাসো না।
1055,আমি জানতাম তুমি আমাকে ভালোবাসো না।,ঠিক আছে!আমি এখনই একটি রিজার্ভেশন করব।
1056,আমার পিতা মাতা বিচ্ছিন্ন.,আমারও তাই।
1057,আমারও তাই।,আপনার বাবা -মা কেন বিবাহবিচ্ছেদ পেয়েছিলেন?
1058,আপনার বাবা -মা কেন বিবাহবিচ্ছেদ পেয়েছিলেন?,আমার বাবা একটি নতুন বান্ধবী খুঁজে পেয়েছেন।
1059,আমার বাবা একটি নতুন বান্ধবী খুঁজে পেয়েছেন।,ওটা খুব খারাপ.
1060,ওটা খুব খারাপ.,আমার মা আহত ও রাগান্বিত ছিলেন।
1061,আমার মা আহত ও রাগান্বিত ছিলেন।,তার ভাল কারণ ছিল।সে কী করল?
1062,তার ভাল কারণ ছিল।সে কী করল?,তিনি তাকে তার বান্ধবীকে ফেলে দিতে বলেছিলেন।
1063,তিনি তাকে তার বান্ধবীকে ফেলে দিতে বলেছিলেন।,তোমার বাবা কি করলেন?
1064,তোমার বাবা কি করলেন?,তিনি আমাদের বাড়ি থেকে সরে এসেছেন।
1065,তিনি আমাদের বাড়ি থেকে সরে এসেছেন।,আমার ধারণা তিনি সত্যিই তাঁর নতুন বান্ধবীকে পছন্দ করেছেন।
1066,আমার ধারণা তিনি সত্যিই তাঁর নতুন বান্ধবীকে পছন্দ করেছেন।,"হ্যাঁ, তবে তিনি তাকে এক বছর পরে রেখে গেছেন।"
1067,আমার ঠাকুরমার অ্যাপার্টমেন্ট মজার গন্ধ।,আমারও তাই না।
1068,আমারও তাই না।,আমি মনে করি এটি একটি পুরানো মানুষের গন্ধ।
1069,আমি মনে করি এটি একটি পুরানো মানুষের গন্ধ।,সত্যিই?
1070,সত্যিই?,হ্যাঁ.
1071,"হ্যাঁ.আমি মনে করি আপনি যখন বৃদ্ধ হন, আপনি গন্ধ পেতে শুরু করেন।",like fruit that is too ripe?
1072,like fruit that is too ripe?,"হ্যাঁ, ঠিক যেমন খুব পাকা ফলের মতো।"
1073,"হ্যাঁ, ঠিক যেমন খুব পাকা ফলের মতো।",তবে গন্ধ আলাদা।
1074,তবে গন্ধ আলাদা।,"হ্যাঁ, বৃদ্ধ লোকেরা ফলের মতো গন্ধ পায় না।"
1075,"হ্যাঁ, বৃদ্ধ লোকেরা ফলের মতো গন্ধ পায় না।","না, তারা একটি থ্রিফ্ট শপের মতো গন্ধ পায়।"
1076,"না, তারা একটি থ্রিফ্ট শপের মতো গন্ধ পায়।","হ্যাঁ, একটি থ্রিফ্ট শপের একই গন্ধ রয়েছে।"
1077,"হ্যাঁ, একটি থ্রিফ্ট শপের একই গন্ধ রয়েছে।","হ্যাঁ, একটি পুরানো গন্ধ।"
1078,স্ট্যাম্পের দাম উপরে এবং উপরে যায়।,আমি মনে করি স্ট্যাম্পগুলি একটি পয়সা খরচ করত।
1079,আমি মনে করি স্ট্যাম্পগুলি একটি পয়সা খরচ করত।,সেটা অনেক আগের.
1080,সেটা অনেক আগের.,এটা আমার জন্মের আগে ছিল।
1081,এটা আমার জন্মের আগে ছিল।,এখন একটি স্ট্যাম্প 42 সেন্ট।
1082,এখন একটি স্ট্যাম্প 42 সেন্ট।,but in may it will be 44 cents.
1083,তবে মে মাসে এটি 44 সেন্ট হবে।,আপনি কি কখনও মেইলে একটি চিঠি হারিয়েছেন?
1084,আপনি কি কখনও মেইলে একটি চিঠি হারিয়েছেন?,"না, আমি নেই।"
1085,"না, আমি নেই।",আমি কখনই না.
1086,আমি কখনই না.,"সুতরাং, তারা অর্থের জন্য একটি ভাল কাজ করে।"
1087,"সুতরাং, তারা অর্থের জন্য একটি ভাল কাজ করে।",হ্যাঁ তারা করে.
1088,হ্যাঁ তারা করে.,হয়তো আমাদের অভিযোগ করা উচিত নয়।
1089,আমার শার্ট থেকে একটি বোতাম এসেছিল।,আপনি কি করতে যাচ্ছেন?
1090,আপনি কি করতে যাচ্ছেন?,"প্রথমত, আমাকে বোতামটি সন্ধান করতে হবে।"
1091,"প্রথমত, আমাকে বোতামটি সন্ধান করতে হবে।",আপনি কোথায় এটি হারিয়েছেন?
1092,আপনি কোথায় এটি হারিয়েছেন?,আমার কোন ধারণা নাই.
1093,আমার কোন ধারণা নাই.,একটি বোতাম খুঁজে পাওয়া শক্ত।আপনি কি আপনার প্যান্ট কাফগুলিতে তাকান?
